ScanList Name,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Channel 15,Channel 16,Channel 17,Channel 18,Channel 19,Channel 20,Channel 21,Channel 22,Channel 23,Channel 24,Channel 25,Channel 26,Channel 27,Channel 28,Channel 29,Channel 30,Channel 31,Priority1,Priority2,TX Channel,Signal Hold,Priority Sample
VK3RMC,'3RMC TG1 WW CALL,'3RMC TG3801 ACT,'3RMC TG8 S1 LINK,'3RMC TG9 S1 LOC,'3RMC TG13 WWE,'3RMC TG113 UA,'3RMC TG123 UA,'3RMC TG153 SthPc,'3RMC TG505 AU,'3RMC TG3802 NSW,'3RMC TG3803 Vic,'3RMC TG3805 SA,'3RMC TG3807 TAS,'3RMC TG3804 Qld,,,,,,,,,,,,,,,,,,'2RAG bm5052 NSW,'2RAG bm5052 NSW,Last, 2, 3,
VK3RMM,'3RMM TG1 WW CALL,'3RMM TG3806 WA,'3RMM TG8 S1 LINK,'3RMM TG9 S1 LOCL,'3RMM TG13 WWE,'3RMM TG113 UA,'3RMM TG123 UA,'3RMM TG153 SthPc,'3RMM TG505 AU,'3RMM TG3802 NSW,'3RMM TG3803 Vic,'3RMM TG3805 SA,'3RMM TG3807 Tas,'3RMM TG3804 Qld,,,,,,,,,,,,,,,,,,'2RAG bm5052 NSW,'2RAG bm5052 NSW,Last, 2, 3,
VK3RPS,'3RPS TG1 WW CALL,'3RPS TG8 S2,'3RPS TG8 S1 Vic,'3RPS TG9 S1 LOC,'3RPS TG13 WWE,'3RPS TG113 UA,'3RPS TG123 UA,'3RPS TG153 SthPc,'3RPS TG505 AU,'3RPS TG3802 NSW,'3RPS TG3803 VIC,'3RPS TG3805 SA,'3RPS TG3807 Tas,'3RPS TG3801 ACT,,,,,,,,,,,,,,,,,,'2RAG bm5052 NSW,'2RAG bm5052 NSW,Last, 2, 3,
VK3RPT,'3RPT TG1 WW CALL,'3RPT TG8 S2 Locl,'3RPT TG8 S1 Link,'3RPT TG9 S1 Loc,'3RPT TG13 WWE,'3RPT TG113 UA,'3RPT TG123 UA,'3RPT TG153 SthPc,'3RPT TG505 AU,'3RPT TG3802 NSW,'3RPT TG3803 Vic,'3RPT TG3805 SA,'3RPT TG3807 Tas,'3RPT TG3801 ACT,,,,,,,,,,,,,,,,,,'2RAG bm5052 NSW,'2RAG bm5052 NSW,Last, 2, 3,
VK3RSU,'3RSU TG1 WW,'3RSU TG3804 Qld,'3RSU TG8 S1 LINK,'3RSU TG9 S1 LOCL,'3RSU TG13 WWE,'3RSU TG113 UA,'3RSU TG123 UA,'3RSU TF153 SthPc,'3RSU TG505 AU,'3RSU TG3802 NSW,'3RSU TG3803 Vic,'3RSU TG3805 SA,'3RSU TG3807 Tas,'3RSU TG3806 WA,,,,,,,,,,,,,,,,,,'2RAG bm5052 NSW,'2RAG bm5052 NSW,Last, 2, 3,
VK3RTE,'3RTE TG1 WW CALL,'3RTE TG3801 ACT,'3RTE TG8 S1 LINK,'3RTE TG9 S1 LOCL,'3RTE TG13 WWE,'3RTE TG113 UA,'3RTE TG123 UA,'3RTE TG153 SthPc,'3RTE TG505 AU,'3RTE TG3802 NSW,'3RTE TG3803 Vic,'3RTE TG3805 SA,'3RTE TG3807 Tas,'3RTE TG3804 Qld,,,,,,,,,,,,,,,,,,'2RAG bm5052 NSW,'2RAG bm5052 NSW,Last, 2, 3,
VK3RZU,'3RZU TG1 WW CALL,'3RZU TG3801 ACT,'32RZU TG8 S1 Lnk,'3RZU TG9 S1 LOCL,'3RZU TG13 WWE,'3RZU TG113 UA,'3RZU TG123 UA,'3RZU TG153 SthPc,'3RZU TG505 AU,'3RZU TG3802 NSW,'3RZU TG3803 Vic,'3RZU TG3805 SA,'3RZU TG3807 Tas,'3RZU TG3804 Qld,,,,,,,,,,,,,,,,,,'2RAG bm5052 NSW,'2RAG bm5052 NSW,Last, 2, 3,
'3RBA BM,'3RBA bm91 WW,'3RBA bm913 WW E,'3RBA bm923 EU A,'3RBA bm95 AU/NZ,'3RBA bm505 AU,'3RBA bm5051 AU,'3RBA bm5052 NSW,'3RBA bm5053 Vic,'3RBA bm5054 Qld,'3RBA bm5055 SA,'3RBA bm5057 Tas,,,,,,,,,,,,,,,,,,,,,None,None,Last, 20, 8,
VK4RGX,'4RGX TG1 WW CALL,'40RGX TG3801 ACT,'4RGX TG8 QLD S1,'4RGX TG9 S1 LOC,'4RGX TG13 WWE,'4RGX TG113 UA,'4RGX TG123 UA,'4RGX TG153 SthPc,'4RGX TG505 AU,'4RGX TG3802 NSW,'4RGX TG3804 Qld,'4RGX TG3805 SA,'4RGX TG3806 WA,'4RGX TG3807 Tas,,,,,,,,,,,,,,,,,,'2RAG bm5052 NSW,'2RAG bm5052 NSW,Last, 2, 3,
VK4RMC,'4RMC TG1 WW CALL,'4RMC TG8 StatWid,'4RMC TG9 S1 Loc,'4RMC TG13 WWE,'4RMC TG113 UA,'4RMC TG123 UA,'4RMC TG153 SthPc,'4RMC TG505 AU,'4RMC TG3801 ACT,'4RMC TG3802 NSW,'4RMC TG3804 QLD,'4RMC TG3805 SA,'4RMC TG3806 WA,'4RMC TG3807 Tas,,,,,,,,,,,,,,,,,,'2RAG bm5052 NSW,'2RAG bm5052 NSW,Last, 2, 3,
